# Items Reference
# Usage: /item <ID>   or   /item <ID> <quantity>

ID       Name                                         Identifier
2000     ==== NEW 99 HAND ITEMS ====                  ==== NEW 99 HAND ITEMS====
2001     Lucky Ring                                   lucky_ring
2002     Steel Gauntlet                               steel_gauntlet
2003     Magic Glove                                  magic_glove
2004     Sage's Band                                  sages_band
2100     ==== NEW 99 HAND ITEMS ====                  ==== NEW 99 HAND ITEMS====
3000     =====CRAFTABLE WEAPONS=====                  ====CRAFTABLE WEAPONS====
3001     Wooden sword                                 wooden_sword
3002     Supple wooden sword                          supple_wooden_sword
3003     Wooden Blade                                 wooden_blade
3004     Supple wooden blade                          supple_wooden_blade
3005     Viperhead woodsaber                          viperhead_woodsaber
3006     Supple vprhd saber                           supple_viperhead_woodsaber
3007     Viperhead woodsword                          viperhead_woodsword
3008     Supple vprhd sword                           supple_viperhead_woodsword
3009     Fine steel saber                             fine_steel_saber
3010     Fine steel sword                             fine_steel_sword
3011     Fine steel blade                             fine_steel_blade
3012     Oaken sword                                  oaken_sword
3013     Supple oaken sword                           supple_oaken_sword
3014     Oaken blade                                  oaken_blade
3015     Supple oaken blade                           supple_oaken_blade
3016     Juk-do                                       juk_do
3017     Elegant Juk-do                               elegant_juk_do
4000     ====MAP FRAGMENTS===                         ====MAP FRAGMENTS====
4001     Desert map                                   desert_map
4002     Map fragment                                 map_fragment
4003     Player Exp Map Mod                           map_mod_player_exp
4004     Mob AC Map Mod                               map_mod_decreased_mob_ac
4005     Green Squirrel Map                           green_squirrel_map
4006     Combined map                                 combined_map
4007     Dragon's essence                             dragon_essence
4008     Chung Ryong's might                          chung_ryongs_might
4009     Haunted House Map                            haunted_house_map
4010     Lobster Map                                  lobsters_map
4011     Mythic Dragon Map                            mythic_dragon_map
4012     Mythic Snake Map                             mythic_snake_map
4013     Mythic Rabbit Map                            mythic_rabbit_map
4014     Mythic Monkey Map                            mythic_monkey_map
4015     Mythic Sheep Map                             mythic_sheep_map
4016     Mythic Ox Map                                mythic_ox_map
4017     Gonjiam Map                                  gonjiam_map
5000     ===SEASONAL MISC                             ===SEASONAL MISC
5001     Ribbon                                       ribbon
5002     Brown gift paper                             brown_gift_paper
5003     Brown present                                brown_present
5004     Fireworks (Dazzle)                           fireworks
5005     Fireworks (X)                                fireworks1
5006     Fireworks (Heart)                            fireworks2
5007     Fireworks 4                                  fireworks4
5008     Fireworks 5                                  fireworks5
5009     Fireworks 6                                  fireworks6
5010     Fireworks 7                                  fireworks7
5011     Fireworks 8                                  fireworks8
5012     Fireworks 9                                  fireworks9
5013     Fireworks 10                                 fireworks10
5014     Firecracker 1                                firecracker1
5015     Firecracker 2                                firecracker2
5016     Firecracker 3                                firecracker3
5017     Firecracker 4                                firecracker4
5018     Firecracker 5                                firecracker5
5019     Firecracker 6                                firecracker6
5020     Firecracker 7                                firecracker7
5021     Firecracker 8                                firecracker8
5022     Firecracker 9                                firecracker9
5023     Firecracker 10                               firecracker10
10000    ===FOOD===                                   ===FOOD===
10001    Apple                                        apple
10002    Wolf Meat                                    wolf_meat
10003    Ginseng                                      ginseng
10004    Fish                                         fish
10005    Banana                                       banana
10006    Watermelon                                   watermelon
10007    Bone                                         bone
10008    Chicken meat                                 chicken_meat
10009    Acorn                                        acorn
10010    Pork                                         pork
10011    Rare pork                                    rare_pork
10012    Rabbit meat                                  rabbit_meat
10013    Bear's liver                                 bears_liver
10014    Snake meat                                   snake_meat
10015    Beef                                         beef
10016    Tiger meat                                   tiger_meat
10017    Noodles                                      noodles
10018    Sushi on plate                               sushi_on_plate
10019    Bird meat                                    bird_meat
10020    Flour                                        flour
10021    Plate of chestnuts                           plate_of_chestnuts
10022    Boiled fish                                  boiled_fish
10023    Rat meat                                     rat_meat
10024    Honey                                        honey
10025    Roasted chicken                              roasted_chicken
10026    Fried egg                                    fried_egg
10027    Egg                                          egg
10028    Golden egg                                   golden_egg
10029    Egg carton                                   egg_carton
10030    Egg basket                                   egg_basket
10031    Grilled beef                                 grilled_beef
10032    Peas                                         peas
10033    Seaweed                                      seaweed
10034    Fortune cookie                               fortune_cookie
10035    Meat Scrap                                   meat_scrap
10036    Meat                                         meat
10037    Chestnut                                     chestnut
10038    Minnow                                       minnow
10039    Gold acorn                                   gold_acorn
10040    Antler                                       antler
10041    Lean beef                                    lean_beef
10042    Ogre cider                                   ogre_cider
10043    Ogre drought                                 ogre_drought
10044    Ginseng piece                                ginseng_piece
10045    Mountain ginseng                             mountain_ginseng
10046    Fine snake meat                              fine_snake_meat
10047    Horse meat                                   horse_meat
10048    Aged wine                                    aged_wine
10049    Wine                                         wine
10056    Moon wine                                    moon_wine
10057    Thick wine                                   thick_wine
10058    Rich wine                                    rich_wine
10059    Root liquor                                  root_liquor
10060    Rice wine                                    rice_wine
10061    Cooked fish                                  cooked_fish
10062    Green squirrel pelt                          green_squirrel_pelt
10063    Splendid Tiger Pelt                          splendid_tiger_pelt
10064    Tiger's heart                                tigers_heart
10065    Fine rabbit meat                             fine_rabbit_meat
10066    Iron statue                                  iron_statue
10067    Small fish                                   small_fish
10068    Scrawny fish                                 scrawny_fish
10069    Tiny fish                                    tiny_fish
10070    Tasty fish                                   tasty_fish
10071    Large fish                                   large_fish
10072    Delicious fish                               delicious_fish
10073    Magical fish                                 magical_fish
10074    Bear fur                                     bear_fur
10075    Salt block                                   salt_block
10076    Crap                                         crap
10077    Fiery crap                                   crap2
10078    Poison apple                                 poison_apple
10500    ===POTIONS===                                ===POTIONS===
10501    Blue potion                                  blue_potion
10502    Yellow potion                                yellow_potion
10503    White potion                                 white_potion
10504    Violet potion                                violet_potion
10505    Indigo potion                                indigo_potion
10506    Brown potion                                 brown_potion
10507    Green potion                                 green_potion
10508    Red potion                                   red_potion
10509    Aqua potion                                  aqua_potion
10510    Muddy potion                                 muddy_potion
10511    Kawlana                                      kawlana_potion
10512    Purple potion                                purple_potion
10513    Dart poison                                  dart_poison
10514    Black potion                                 black_potion
10515    Lime potion                                  lime_potion
10516    Summer potion                                summer_potion
10517    Autumn potion                                autumn_potion
10518    Winter potion                                winter_potion
10519    Ancient potion                               ancient_potion
10520    Blood potion                                 blood_potion
10521    Earth potion                                 earth_potion
10522    Sea potion                                   sea_potion
10523    Ruby potion                                  ruby_potion
11000    ===SMOKED ITEMS===                           ===SMOKED ITEMS===
11001    Cigarettes                                   cigarettes
11002    Herb pipe                                    herb_pipe
11003    Sonhi pipe                                   sonhi_pipe
11900    ====ARROWS====                               ====ARROWS====
11901    Ranger arrows                                ranger_arrows
11902    Split head arrows                            split_head_arrows
11903    Cursed head arrows                           cursed_head_arrows
11904    Flame head arrows                            flame_head_arrows
11905    Steel tip arrows                             steel_tip_arrows
11906    Sleep arrows                                 sleep_arrows
11907    Explosive arrows                             explosive_arrows
11908    Dark arrows                                  dark_arrows
11909    Deamon arrows                                deamon_arrows
12000    ===MISC===                                   ===MISC===
12001    Platinum Mold                                platinum_mold
12002    Small Cup                                    small_cup
12003    Scroll                                       scroll
12004    Ancient Scroll                               ancient_scroll
12005    Book                                         book
12006    Empty water jug                              empty_water_jug
12007    Cup                                          cup
12009    Empty water skin                             empty_water_skin
12010    Mirror                                       mirror
12011    Comb                                         comb
12013    Pebble                                       pebble
12014    Coin                                         coin
12015    Empty Bowl                                   empty_bowl
12016    Soup bowl                                    soup_bowl
12017    Cup                                          cup2
12018    Magic mirror                                 magic_mirror
12019    Qui hyang                                    qui_hyang
12020    Water jug                                    water_jug
12021    Quest paper                                  quest_paper
12022    White paper                                  white_paper
12023    Paper                                        paper
12024    Ink                                          ink
12025    Ink Pen                                      ink_pen
12026    Ink Pen                                      ink_pen2
12027    Big Yellow Scroll                            big_yellow_scroll
12028    Yellow scroll                                yellow_scroll
12029    Kindred talisman                             kindred_talisman
12030    Big Zibong Essence                           big_zibong_essence
12031    Blue Scroll                                  blue_scroll
12032    Zibong Essence                               zibong_essence
12033    Postcard                                     postcard
12034    Moon paper                                   moon_paper
12035    Paper                                        paper2
12037    Smelting Agreement                           smelting_agreement
12038    Flash dust                                   flash_dust
12039    Flash powder                                 flash_powder
12040    Rogue's powder                               rogues_powder
12041    Spark powder                                 spark_powder
12042    Moon powder                                  moon_powder
12043    Star powder                                  star_powder
12044    Deadly earth                                 deadly_earth
12045    Holy dust                                    holy_dust
12046    Holy powder                                  holy_powder
12047    Ice shards                                   ice_shards
12048    Shard bomb                                   shard_bomb
12049    Shatter bomb                                 shatter_bomb
12050    Spy's explosives                             spys_explosives
12051    Stealth explosives                           stealth_explosives
12052    Stealth powder                               stealth_powder
12053    Sun powder                                   sun_powder
12054    Sea melodies                                 sea_melodies
12055    Sea poems                                    sea_poems
12056    Full experience envelope                     full_experience_envelope
12101    Rose petals                                  rose_petals
12103    Clear water song                             clear_water_song
12104    Sacred poem                                  sacred_poem
12105    War poem                                     war_poem
12106    Check (1,000)                                check_1000
12107    Check (5,000)                                check_5000
12108    Check (10,000)                               check_10000
12109    Check (50,000)                               check_50000
12110    Check (100,000)                              check_100000
12111    Check (500,000)                              check_500000
12112    Check (1,000,000)                            check_1000000
12113    Little red mantle                            little_red_mantle
12114    Blue necklace                                blue_necklace
12115    Black bandanna                               black_bandanna
12116    Purple bandanna                              purple_bandanna
12117    White bandanna                               white_bandanna
12118    Brown bandanna                               brown_bandanna
12119    Green bandanna                               green_bandanna
12120    Pink bandanna                                pink_bandanna
12121    Lava bandanna                                lava_bandanna
12122    Teal bandanna                                teal_bandanna
12123    Navy bandanna                                navy_bandanna
12124    Dark purple bandanna                         darkpurple_bandanna
12125    Orange bandanna                              orange_bandanna
12126    Baby blue bandanna                           babyblue_bandanna
12127    Star bandanna                                star_bandanna
12130    Green headband                               green_headband
12131    Black headband                               black_headband
12132    White headband                               white_headband
12133    Blue headband                                blue_headband
12134    Red headband                                 red_headband
12135    Pink headband                                pink_headband
12250    ===Library Items===                          ===Library Items===
12251    Legend                                       legend
12252    Divine Chronicles                            divine_chronicles
12253    Graced by the muse                           graced_by_the_muse
12254    The wandering monk                           the_wandering_monk
12255    Tomes of the earth                           tomes_of_the_earth
12256    Ranger Code                                  ranger_code
12257    Kwanhonsagje                                 kwanhonsagje
12258    Dragon's tooth                               dragons_tooth
12259    Barbarian runes                              barbarian_runes
12260    Ancient parchment                            ancient_parchment
12261    Knowledge of wealth                          knowledge_of_wealth
12262    Spy's journal                                spys_journal
12263    Shu jing                                     shu_jing
12264    Chieko                                       chieko
13000    ===crafting mats===                          ===crafting mats===
13001    Wool                                         wool
13002    Mica                                         mica
13003    Topaz                                        topaz
13004    Spent metal                                  spent_metal
13005    Obsidian                                     obsidian
13006    Limestone                                    limestone
13007    Quartz                                       quartz
13008    Amethyst                                     amethyst
13009    Amber                                        amber
13010    Dark amber                                   dark_amber
13011    White amber                                  white_amber
13012    Tarnished amber                              tarnished_amber
13013    Yellow amber                                 yellow_amber
13014    Cloth                                        cloth
13015    Fine cloth                                   fine_cloth
13016    Pwdrd yellow amber                           powdered_yellow_amber
13017    Fine metal                                   fine_metal
13018    Metal                                        metal
13019    Diamond                                      diamond
13020    Ore [poor]                                   ore_poor
13021    Ore [med]                                    ore_med
13022    Ore [high]                                   ore_high
13033    Ore [very high]                              ore_very_high
13034    Gold ore                                     gold_ore
13035    Silver ore                                   silver_ore
13036    Red amber                                    red_amber
13037    Flame amber                                  flame_amber
13038    Slag                                         slag
13039    Wool twine                                   wool_twine
13040    Ginko wood                                   ginko_wood
13041    Coal                                         coal
13043    Hot coal                                     hot_coal
13044    Crystal                                      crystal
13045    Wood scraps                                  wood_scraps
13046    Well cftd wt amber                           well_crafted_white_amber
13047    Well cftd yw amber                           well_crafted_yellow_amber
13048    Well cftd dk amber                           well_crafted_dark_amber
13049    Well cftd amber                              well_crafted_amber
13050    Crafted wt amber                             crafted_white_amber
13051    Crafted yw amber                             crafted_yellow_amber
13052    Crafted dk amber                             crafted_dark_amber
13053    Crafted amber                                crafted_amber
13054    Tarnished wt amber                           tarnished_white_amber
13055    Tarnished yw amber                           tarnished_yellow_amber
13056    Tarnished dk amber                           tarnished_dark_amber
13057    Silver tree branch                           silver_tree_branch
13058    Dragon shard                                 dragon_shard
14001    Weaving tools                                weaving_tools
14002    Fine weaving tools                           fine_weaving_tools
14003    Shears                                       shears
14004    Mining pick                                  mining_pick
14005    Axe                                          axe
14006    Basic sickle                                 basic_sickle
14007    Wheat                                        wheat
14008    Rice                                         rice
15000    ====MOUNTS=====                              ====MOUNTS====
15001    Horse mount                                  horse_mount
15002    White horse mount                            white_horse_mount
15003    Yellow horse mount                           yellow_horse_mount
15004    Red horse mount                              red_horse_mount
15005    Gold horse mount                             gold_horse_mount
15006    Bridle                                       bridle
15007    Mountain goat pan flute                      mountain_goat_pan_flute
15008    Red mountain goat pan flute                  red_mountain_goat_pan_flute
15009    Muddy boots mount                            muddy_boots_mount
15010    Headless horseman's horse                    headless_horsemans_horse
15011    Armored horse saddle                         armored_horse_saddle
15012    Dragon dog                                   dragon_dog
15013    Tourmaline dragon dog                        tourmaline_dragon_dog
15014    Alexandrite dragon dog                       alexandrite_dragon_dog
15015    Bamboo dragon dog                            bamboo_dragon_dog
15018    Peridot dragon dog                           peridot_dragon_dog
15019    Rhodonite dragon dog                         rhodonite_dragon_dog
15020    Sodalite dragon dog                          sodalite_dragon_dog
15021    Archon dragon dog                            archon_dragon_dog
15022    Jasper dragon dog                            jasper_dragon_dog
15023    Phantom dragon dog                           phantom_dragon_dog
15024    Sardonyx dragon dog                          sardonyx_dragon_dog
15025    Onyx dragon dog                              onyx_dragon_dog
15026    Tempest dragon dog                           tempest_dragon_dog
15027    Raheem dragon dog                            raheem_dragon_dog
15028    Ruby dragon dog                              ruby_dragon_dog
15029    Forest dragon dog                            forest_dragon_dog
15030    Ivy dragon dog                               ivy_dragon_dog
15031    Lazuli dragon dog                            lazuli_dragon_dog
15032    Aragonite dragon dog                         aragonite_dragon_dog
15033    Garnet dragon dog                            garnet_dragon_dog
15034    Amethyst dragon dog                          amethyst_dragon_dog
15035    Bloodstone dragon dog                        bloodstone_dragon_dog
15036    Topaz dragon dog                             topaz_dragon_dog
15037    Earth dragon dog                             earth_dragon_dog
15038    Twilight dragon dog                          twilight_dragon_dog
15039    Pig mount                                    pig_mount
15040    Black pig mount                              black_pig_mount
15041    Brown warthog mount                          brown_warthog_mount
15042    Black warthog mount                          black_warthog_mount
15043    Leopard mount                                leopard_mount
15044    Snow leopard mount                           snow_leopard_mount
15045    Black leopard mount                          black_leopard_mount
15046    Brown chicken mount                          brown_chicken_mount
15047    White chicken mount                          white_chicken_mount
15048    Fox mount                                    fox_mount
15049    Snow fox mount                               snow_fox_mount
15050    Snow winter fox mount                        snow_winter_fox_mount
15051    Black winter fox mount                       black_winter_fox_mount
15052    Ice winter fox mount                         ice_winter_fox_mount
15053    Blue-tip winter fox mount                    blue_tip_winter_fox_mount
15054    Pink winter fox mount                        pink_winter_fox_mount
15055    Purple winter fox mount                      purple_winter_fox_mount
15056    Gold winter fox mount                        gold_winter_fox_mount
15057    Night winter fox mount                       night_winter_fox_mount
15058    Brown winter fox mount                       brown_winter_fox_mount
15059    Purple-tip winter fox mount                  purple_tip_winter_fox_mount
15060    Stealth winter fox mount                     stealth_winter_fox_mount
15061    Green bobcat mount                           green_bobcat_mount
15062    Blue bobcat mount                            blue_bobcat_mount
15063    Brown bobcat mount                           brown_bobcat_mount
15064    Purple bobcat mount                          purple_bobcat_mount
15065    Black bobcat mount                           black_bobcat_mount
15066    Dark green bobcat mount                      dark_green_bobcat_mount
15067    White bobcat mount                           white_bobcat_mount
15068    Gold bobcat mount                            gold_bobcat_mount
15069    Red bobcat mount                             red_bobcat_mount
15070    Stone bobcat mount                           stone_bobcat_mount
15071    Festive dragon mount                         festive_dragon_mount
15072    Rudolph sleigh mount                         rudolph_sleigh_mount
15073    Pink cloud mount                             pink_cloud_mount
15074    White cloud mount                            white_cloud_mount
15075    Dark cloud mount                             dark_cloud_mount
15076    Evening cloud mount                          evening_cloud_mount
15077    Moonlight cloud mount                        moonlight_cloud_mount
15078    Sunrise cloud mount                          sunrise_cloud_mount
15079    Black elephant mount                         black_elephant_mount
15080    Brown elephant mount                         brown_elephant_mount
15081    Maroon elephant mount                        maroon_elephant_mount
15082    Green elephant mount                         green_elephant_mount
15083    Slateblue elephant mount                     slateblue_elephant_mount
15084    Purple lamb mount                            purple_lamb_mount
15085    Grey lamb mount                              grey_lamb_mount
15086    Yellow lamb mount                            yellow_lamb_mount
15087    Brown lion mount                             brown_lion_mount
15088    Grey lion mount                              grey_lion_mount
15089    Silver lion mount                            silver_lion_mount
15090    Green lama mount                             green_lama_mount
15091    Silver lama mount                            silver_lama_mount
15092    Purple elk mount                             purple_elk_mount
15093    Brown elk mount                              brown_elk_mount
15094    Gold elk mount                               gold_elk_mount
15095    Olive elk mount                              olive_elk_mount
15096    Green elk mount                              green_elk_mount
15097    Grey elk mount                               grey_elk_mount
15098    Green ceratops mount                         green_ceratops_mount
15099    Cyan ceratops mount                          cyan_ceratops_mount
15100    Red ceratops mount                           red_ceratops_mount
15101    Black ceratops mount                         black_ceratops_mount
15102    Fennec mount                                 fennec_mount
15103    Pomeranian mount                             pomeranian_mount
15104    Yellow anteater mount                        yellow_anteater_mount
15105    Brown anteater mount                         brown_anteater_mount
15106    Purple anteater mount                        purple_anteater_mount
15107    Green rhino mount                            green_rhino_mount
15108    Blue rhino mount                             blue_rhino_mount
15109    Brown rhino mount                            brown_rhino_mount
15110    Purple rhino mount                           purple_rhino_mount
15111    Black rhino mount                            black_rhino_mount
15112    Dark green rhino mount                       dark_green_rhino_mount
15113    White rhino mount                            white_rhino_mount
15114    Gold rhino mount                             gold_rhino_mount
15115    Red rhino mount                              red_rhino_mount
15116    Stone rhino mount                            stone_rhino_mount
15117    Blue ninetails mount                         blue_ninetails_mount
15118    Brown ninetails mount                        brown_ninetails_mount
15119    Purple ninetails mount                       purple_ninetails_mount
15120    Black ninetails mount                        black_ninetails_mount
15121    White ninetails mount                        white_ninetails_mount
15122    Gold ninetails mount                         gold_ninetails_mount
15123    Red ninetails mount                          red_ninetails_mount
15124    Pegasus mount                                pegasus_mount
15125    Zebra mount                                  zebra_mount
15126    Polar bear                                   polar_bear
15127    Snowy polar bear                             snowy_polar_bear
15128    Shivery polar bear                           shivery_polar_bear
15129    Murky polar bear                             murky_polar_bear
15130    Algid polar bear                             algid_polar_bear
15131    Snappy polar bear                            snappy_polar_bear
15132    Chilled polar bear                           chilled_polar_bear
15133    Siberian polar bear                          siberian_polar_bear
15134    Archon polar bear                            archon_polar_bear
15135    Cool polar bear                              cool_polar_bear
15136    Gelid polar bear                             gelid_polar_bear
15137    Sharp polar bear                             sharp_polar_bear
15138    Freezing polar bear                          freezing_polar_bear
15139    Bleak polar bear                             bleak_polar_bear
15140    Brumal polar bear                            brumal_polar_bear
15141    Heated polar bear                            heated_polar_bear
15142    Raw polar bear                               raw_polar_bear
15143    Frost polar bear                             frost_polar_bear
15144    Bitter polar bear                            bitter_polar_bear
15145    Frore polar bear                             frore_polar_bear
15146    Crisp polar bear                             crisp_polar_bear
15147    Wintery polar bear                           wintery_polar_bear
15148    Icy polar bear                               icy_polar_bear
15149    Deer horn                                    deer_horn
15150    Argyle deer horn                             argyle_deer_horn
15151    Andiron deer horn                            andiron_deer_horn
15152    Manitou deer horn                            manitou_deer_horn
15153    Rosemary deer horn                           rosemary_deer_horn
15154    Auburn deer horn                             auburn_deer_horn
15155    Merioa deer horn                             merioa_deer_horn
15156    Framboise deer horn                          framboise_deer_horn
15157    Blissful deer horn                           blissful_deer_horn
15158    Calimian deer horn                           calimian_deer_horn
15159    Sika deer horn                               sika_deer_horn
15160    Roe deer horn                                roe_deer_horn
15161    Sunda deer horn                              sunda_deer_horn
15162    Sambar deer horn                             sambar_deer_horn
15163    Fallow deer horn                             fallow_deer_horn
15164    Archon deer horn                             archon_deer_horn
15165    Fire deer horn                               fire_deer_horn
15166    Barasingha deer horn                         barasingha_deer_horn
15167    Rusa deer horn                               rusa_deer_horn
15168    Doe horn                                     doe_horn
15169    Brown doe horn                               brown_doe_horn
15170    Green doe horn                               green_doe_horn
15171    Yellow doe horn                              yellow_doe_horn
15172    Black doe horn                               black_doe_horn
15173    White doe horn                               white_doe_horn
15174    Turtle shell                                 turtle_shell
15175    Seaweed turtle shell                         seaweed_turtle_shell
15176    Sky turtle shell                             sky_turtle_shell
15177    Golden turtle shell                          golden_turtle_shell
15178    Blush turtle shell                           blush_turtle_shell
15179    Copper turtle shell                          copper_turtle_shell
15180    Ambergris turtle shell                       ambergris_turtle_shell
15181    Floral turtle shell                          floral_turtle_shell
15182    Frost turtle shell                           frost_turtle_shell
15183    Coral turtle shell                           coral_turtle_shell
15184    Coco turtle shell                            coco_turtle_shell
15185    Linen turtle shell                           linen_turtle_shell
15186    Clay turtle shell                            clay_turtle_shell
15187    Sunset turtle shell                          sunset_turtle_shell
15188    Holiday turtle shell                         holiday_turtle_shell
15189    Emerald turtle shell                         emerald_turtle_shell
15190    Panther collar                               panther_collar
15191    Midnight panther collar                      midnight_panther_collar
15192    Black panther collar                         black_panther_collar
15193    White panther collar                         white_panther_collar
15194    Yellow panther collar                        yellow_panther_collar
15195    Red panther collar                           red_panther_collar
15196    Green panther collar                         green_panther_collar
15197    Tiger mount                                  tiger_mount
15198    Black tiger mount                            black_tiger_mount
15199    White tiger mount                            white_tiger_mount
15200    Brown tiger mount                            brown_tiger_mount
15201    Orange tiger mount                           orange_tiger_mount
15202    Horned tiger mount                           horned_tiger_mount
15203    Purple bunny mount                           purple_bunny_mount
15204    White bunny mount                            white_bunny_mount
15205    Brown bunny mount                            brown_bunny_mount
15206    Eagle mount                                  eagle_mount
15207    Blue bull mount                              blue_bull_mount
15208    Brown bull mount                             brown_bull_mount
15209    Black bull mount                             black_bull_mount
15210    White bull mount                             white_bull_mount
15211    Red bull mount                               red_bull_mount
15212    Scorpion mount                               scorpion_mount
15213    Black scorpion mount                         black_scorpion_mount
15214    Red scorpion mount                           red_scorpion_mount
15215    Brown wolf mount                             brown_wolf_mount
15216    Black wolf mount                             black_wolf_mount
15217    White wolf mount                             white_wolf_mount
15218    Purple bat mount                             purple_bat_mount
15219    Blue bat mount                               blue_bat_mount
15220    Black bat mount                              black_bat_mount
15221    White bat mount                              white_bat_mount
15222    Green bat mount                              green_bat_mount
15223    Purple snake mount                           purple_snake_mount
15224    Black snake mount                            black_snake_mount
15225    White snake mount                            white_snake_mount
15226    Brown snake mount                            brown_snake_mount
15227    Green snake mount                            green_snake_mount
15228    Black peacock mount                          black_peacock_mount
15229    Red peacock mount                            red_peacock_mount
15230    Purple peacock mount                         purple_peacock_mount
15231    Floral peacock mount                         floral_peacock_mount
15232    Blue peacock mount                           blue_peacock_mount
15233    Green peacock mount                          green_peacock_mount
15234    Green gama                                   green_gama
15235    Brown gama                                   brown_gama
15236    Black gama                                   black_gama
15237    White gama                                   white_gama
15238    Tan gama                                     tan_gama
15239    Blue gama                                    blue_gama
15240    Orange gama                                  orange_gama
15241    Red gama                                     red_gama
15242    Green firetail mount                         green_firetail_mount
15243    Blue firetail mount                          blue_firetail_mount
15244    Brown firetail mount                         brown_firetail_mount
15245    Purple firetail mount                        purple_firetail_mount
15246    Black firetail mount                         black_firetail_mount
15247    Dark green firetail mount                    dark_green_firetail_mount
15248    White firetail mount                         white_firetail_mount
15249    Gold firetail mount                          gold_firetail_mount
15250    Red firetail mount                           red_firetail_mount
15251    Stone firetail mount                         stone_firetail_mount
15252    Husky mount                                  husky_mount
15253    ==== NON STANDARD NTK MOUNTS====             === NON STANDARD NTK MOUNTS===
15254    Fiery winter fox mount                       fiery_winter_fox_mount
15255    Forest winter fox mount                      forest_winter_fox_mount
15256    Blood tip winter fox mount                   blood_tip_winter_fox_mount
15257    Aqua tip winter fox mount                    aqua_tip_winter_fox_mount
15258    Red tip winter fox mount                     red_tip_winter_fox_mount
15259    Peach winter fox mount                       peach_winter_fox_mount
15260    Twilight winter fox mount                    twilight_winter_fox_mount
15261    Steel winter fox mount                       steel_winter_fox_mount
15262    Black tip winter fox mount                   black_tip_winter_fox_mount
15263    Blue rooster mount                           blue_rooster_mount
16000    ==== PREMIUM ITEM SKINS =====                ==== PREMIUM ITEM SKINS ====
16001    Forsaken orb blade                           forsaken_orb_blade
16002    Forsaken orb sabre                           forsaken_orb_sabre
