Map IDs — NexusTK
Usage: /warp <id>  or  /warp <id> <x> <y>
Names are derived from warps.txt comments; a map may appear under multiple names.

ID       Location(s)
2832     hillman, hillman2, hillman3
2833     hillman2, hillman3, hillman4
2834     hillman3, hillman4, hillman5
2835     hillman4, hillman5
2841     anch, anch2, BLanch, Vortex
2842     anch, anch2, anch3
2843     anch2, anch3
2849     BLanch, Bossroom
2850     anch, BLanch, Bossroom
2851     Vortex, wind, wind3
2853     wind, wind3, wind4
2854     wind3, wind4, wind5
2855     wind4, wind5
2861     Shadow, Shadow Big, Shadow2, Vortex
2862     Shadow, Shadow2, Shadow3
2864     Shadow, Shadow Big, shadowhold
2867     Shadow2, Shadow3
2869     shadow Big, shadowhold
2871     Bandit, Bandit2, Vortex
2872     Bandit, Bandit2, bandit3
2873     Bandit2, Bandit3, Bandit4
2874     Bandit3, Bandit4
2881     dread, dread2, Vortex
2882     dread, dread2, dread3
2883     dread2, dread3, dread4
2884     dread3, dread4
2891     grey hand, grey hand2, grey hand6, Vortex
2892     grey hand, grey hand2, grey hand3
2893     grey hand2, grey hand3, grey hand4
2894     grey hand3, grey hand4, grey hand5
2895     grey hand4, grey hand5, grey hand6
2896     grey hand, grey hand5, grey hand6
2951     Vortex, water, water2
2959     water2, water3
2960     water, water2, water3
2964     anch, Assassin, Bandit, dread, grey hand, hillman, hunter, Magus, Shadow, Vortex, warp peak, water, wind
3151     mythic, rat
3160     monkey, mythic
3170     mythic, ox
3181     mythic, pig
3191     dog, mythic
3201     Golden Warren, Hare Depression, mythic, Mythic Owsla, rabbit
3202     Golden Warren, rabbit, Rabbit Leap
3203     Forged Fields, Hare Summit, Rabbit Hole
3204     Golden Warren, Hare Summit, Mythic Owsla, Rabbit Leap
3205     Forged Fields, Rabbit Hole
3206     Hare Depression, rabbit
3207     Mythic Owsla, rabbit, Rabbit Leap
3208     Hare Summit, Rabbit Hole, Rabbit Leap
3214     mythic, rooster
3231     mythic, snake
3246     horse, mythic
3257     dragon, mythic
3470     mythic, sheep
3510     BarbarianCircle, Wilderness
3535     Buya Gathering, Gogoon, Kugnae gathering, mythic, Nagnang, NHV, Vortex, Warp Peak
3910     Buya, Heavens clan, Heavens hall
3911     bigroom, Crafting room, Heavens arena, Heavens clan, Heavens hall, Primogen, wut du heck, wut2
3912     Heavens arena, Heavens hall
3913     Heavens hall, wut du heck
3914     Event room, Heavens hall, wut2, wut3
3915     wut2, wut3
3916     Heavens hall, Primogen
3917     Event room, wut2
3918     bigroom, Heavens hall
3919     Crafting room, Heavens hall
3920     Kugnae, SMCH, Sun Moon Clan
3921     SMCH, Sun Moon Clan
4100     mythic, tiger
4604     Buya, Buya Courtyard
4701     thezoo1, thezoo2, thezoo9
4702     thezoo1, thezoo2, thezoo3
4703     thezoo2, thezoo3, thezoo4
4704     thezoo3, thezoo4, thezoo5
4705     thezoo4, thezoo5, thezoo6
4706     thezoo5, thezoo6, thezoo7
4707     thezoo6, thezoo7, thezoo8
4708     thezoo7, thezoo8, thezoo9
4709     thezoo1, thezoo8, thezoo9
4714     Tutorial 2, Tutorial 3, Welcome
4715     Tutorial 2, Tutorial 3, Tutorial 4, Tutorial 5
4716     Tutorial 3, Tutorial 4
4717     Tutorial 3, Tutorial 5, Tutorial 6
4718     Inn, Tutorial 5, Tutorial 6
8400     Get shwifty, winter wonderland
8401     Get shwifty, winter wonderland
11000    gonjiam baekdu
11001    gonjiam baekdu
11002    gonjiam baekdu
11003    gonjiam baekdu
11004    gonjiam baekdu
11005    gonjiam baekdu
18000    ??, fuckifiknow, Gogoon, GTailor, Rhino, Smith, TD, Warp Peak
18002    fuckifiknow, Gogoon
18003    Gogoon, Smith
18004    Gogoon, GTailor
18011    Gogoon, Rhino, Rhino2
18012    Rhino, Rhino2, Rhino3
18013    Rhino2, Rhino3, Rhino4
18014    Rhino3, Rhino4, Rhino5
18015    Rhino4, Rhino5, Rhino6
18016    Rhino5, Rhino6, Rhino7
18017    Rhino6, Rhino7, Rhino8
18018    Rhino7, Rhino8, Rhino9
18019    Rhino8, Rhino9, RhinoLR
18020    Rhino9, RhinoLR
18180    ??, Gogoon
18348    Gogoon, NG, TD
18349    NG, TD, Yurtle
18350    NG, Yurtle
26072    Buya, First trial, Oh san raid, WonyP
26073    First trial, Oh san raid, The awakening
26074    First trial, Nuntis, The awakening
26075    Nuntis, Sip san Grude, The awakening
26076    Nuntis, Sip san Grude
29102    Asmodi, Buya, key
29118    Asmodi, key
32103    ATG, Kugnae
45000    cubbyhole, lunho's lair
45001    cubbyhole, lunho's lair
65102    Rogue Guild, RS
65103    Warrior Guild, WS
65104    Mage Guild, MS
65105    Poet Guild, PS
65106    Oh san raid, WonyP
